Symbol,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,Beta,Profit Margin,Avg Volume,Short Float / Ratio
DLTR,3.82,19.75,17.91,1.25,0.46,7.2,,19.2,13.5,24.2,0.1,0.67,5.5,2120000.0,"(3.61, 3.72)"
DNLI,2.99,,,,0.0,,,-35.7,-32.7,-20.5,1.8,1.37,,694190.0,"(6.07, 10.12)"
DNUT,1.88,,31.78,,0.65,,1.05,-1.3,1.4,-299.8,2.8,,-1.0,926420.0,"(11.71, 10.47)"
DOCU,22.77,,19.67,,1.54,,,-29.0,-6.5,-416.2,1.0,0.99,-4.3,5380000.0,"(4.94, 1.82)"
DOOO,37.32,12.9,8.63,,,6.1,,,,10.7,2.77,,,42410.0,"(4.36, 36.26)"
DORM,2.47,21.27,13.91,1.42,0.7,3.85,,12.1,7.7,-47.3,0.1,0.58,7.0,105680.0,"(1.32, 3.27)"
DOX,3.01,20.2,13.78,2.01,0.0,4.45,1.94,,13.8,-0.9,4.8,0.66,,644150.0,"(0.9, 1.69)"
DRS,4.03,112.82,16.77,,0.0,0.11,,3.8,16.2,-143.3,82.09,0.88,5.3,866360.0,"(4.14, 2.23)"
DRVN,2.68,108.8,18.67,6.57,1.66,0.25,,2.7,4.0,168.9,8.6,,2.1,514620.0,"(6.01, 7.21)"
DSGX,5.78,63.31,46.23,4.22,0.0,1.18,,9.7,9.0,54.5,0.1,1.02,21.0,105010.0,"(0.5, 4.04)"
DUOL,9.11,,,,0.0,,,-11.2,-12.2,25.1,1.4,,-16.1,504040.0,"(7.24, 4.33)"
DXCM,20.05,138.15,76.74,4.51,0.95,0.8,,16.2,8.2,,0.1,1.16,11.7,2610000.0,"(3.36, 4.95)"
EA,4.02,29.71,16.84,8.86,0.25,3.71,0.69,13.6,8.8,216.9,0.2,0.85,14.1,2390000.0,"(1.61, 1.83)"
EBAY,4.33,,9.07,,1.72,,2.43,-22.8,19.1,184.0,0.1,1.36,-13.0,4900000.0,"(2.42, 2.64)"
EBC,0.78,9.5,8.47,,0.0,1.21,3.49,6.1,11.9,55.1,0.2,,28.9,780950.0,"(1.06, 2.36)"
EEFT,3.91,22.45,11.16,1.5,1.3,4.36,,20.8,10.3,,3.7,1.34,6.9,303980.0,"(3.54, 5.47)"
EFSC,1.17,8.68,7.93,0.96,0.11,5.31,2.17,14.2,26.0,19.1,2.0,1.16,38.6,138570.0,"(1.33, 3.37)"
ENPH,34.91,77.26,28.74,3.85,1.56,2.74,,71.7,18.6,186.0,1.2,1.56,17.0,4080000.0,"(4.53, 1.47)"
ENSG,3.83,21.95,16.81,1.46,0.12,3.95,0.27,19.5,16.6,23.7,0.7,1.01,7.4,260850.00000000003,"(3.91, 8.02)"
ENTG,3.69,51.81,20.86,9.25,1.8,1.54,0.5,8.3,4.9,-55.7,0.2,1.3,6.4,1690000.0,"(4.5, 3.94)"
EQIX,5.49,88.95,65.92,4.38,1.31,7.67,2.0,6.4,4.1,2.5,0.1,0.62,9.7,391800.0,"(1.63, 3.85)"
ERIC,1.45,10.44,7.7,,0.31,0.52,4.53,14.6,12.2,-39.8,0.9,0.57,6.9,10380000.0,"(0.5, 1.43)"
ERIE,8.09,43.83,31.52,4.38,0.0,5.11,2.12,21.8,20.6,19.0,0.8,0.46,10.5,111490.0,"(2.88, 6.39)"
ESGR,0.83,,5.87,,0.4,,,-19.4,11.8,142.6,0.9,0.61,,50890.0,"(0.89, 1.92)"
ESLT,2.97,39.18,21.79,3.59,0.39,4.45,1.15,7.8,8.2,-39.4,45.7,0.58,3.6,37680.0,"(0.28, 1.8)"
ETSY,,,31.61,,,,,,-37.3,-18.0,0.6,2.03,-27.1,3080000.0,"(11.7, 4.67)"
EVO,3.05,10.86,,,,0.85,,,,,,,,18060.0,"(0.01, 1.9)"
EVRG,1.43,18.03,14.88,6.76,1.27,3.27,4.16,8.0,5.7,-85.9,0.22,0.49,12.8,1390000.0,"(0.91, 1.5)"
EWBC,1.22,6.54,5.55,0.82,0.03,7.92,3.71,19.7,27.5,56.0,0.1,1.45,48.6,894330.0,"(1.55, 2.42)"
EXAS,3.71,,,,0.74,,,-19.8,-11.0,43.8,0.7,1.4,-29.9,2800000.0,"(7.42, 4.67)"
EXC,1.66,19.9,16.52,1.78,1.62,2.08,3.48,9.0,4.6,36.7,0.25,0.54,11.4,6650000.0,"(1.1, 1.64)"
EXEL,2.18,29.91,17.46,0.65,0.0,0.56,,7.5,6.0,-131.7,0.7,0.67,11.3,2910000.0,"(2.88, 3.12)"
EXLS,6.69,36.12,19.83,2.48,0.33,4.23,,20.1,14.3,13.0,0.4,1.02,10.1,177510.0,"(2.36, 4.24)"
EXPD,5.45,13.08,20.93,,0.0,8.23,1.24,38.9,43.4,-48.0,0.2,0.99,8.0,1460000.0,"(5.46, 5.74)"
EXPE,6.47,44.56,8.2,1.43,2.73,2.13,,16.5,11.1,-38.3,0.2,1.64,3.0,2600000.0,"(2.59, 1.46)"
EXPI,7.28,121.02,32.05,12.1,0.0,0.1,1.52,6.2,6.4,-148.0,48.9,2.74,0.3,982310.0,"(17.86, 13.54)"
EXPO,16.08,51.63,44.58,3.44,0.0,1.96,1.03,30.0,34.6,14.2,0.1,0.66,19.9,151130.0,"(2.34, 7.73)"
EXTR,26.28,46.79,11.79,2.34,3.06,0.36,,50.7,14.3,33.6,1.3,1.98,4.1,1350000.0,"(8.57, 8.18)"
EYE,1.71,41.24,26.19,2.13,0.63,0.47,,4.6,2.9,-210.5,0.1,1.54,2.1,1010000.0,"(9.16, 7.01)"
FA,1.71,30.45,11.51,4.2,0.49,0.43,,5.6,4.4,32.8,0.5,,8.0,298950.0,"(2.2, 10.77)"
FANG,1.56,5.32,5.72,,0.42,24.74,7.27,31.6,24.6,1.1,0.2,2.04,45.0,2550000.0,"(2.74, 1.88)"
FAST,9.33,27.38,24.39,4.33,0.18,1.89,2.71,34.4,29.6,7.1,0.1,1.18,15.6,3360000.0,"(2.58, 4.38)"
FCFS,2.29,16.39,13.1,2.29,0.76,5.38,1.5,9.8,5.0,53.0,20.07,0.81,6.5,209910.0,"(1.85, 3.27)"
FCNCA,0.98,8.73,5.84,,0.51,67.48,0.51,11.3,15.4,37.7,1.1,0.95,30.7,90590.0,"(2.4, 3.23)"
FELE,3.85,22.29,20.0,1.66,0.2,4.01,1.01,18.6,16.4,1.7,0.4,0.99,9.2,158410.0,"(1.12, 2.72)"
FFBC,0.99,9.37,8.72,0.94,0.17,2.3,4.27,10.6,20.2,45.5,0.5,1.08,37.2,311670.0,"(1.96, 5.86)"
FFIN,3.37,18.24,17.28,1.82,0.0,1.64,2.28,18.0,26.7,5.9,1.1,0.76,54.2,465710.0,"(5.26, 15.44)"
FFIV,3.18,27.54,10.35,2.93,0.0,4.97,,12.3,12.1,-20.7,0.5,1.09,11.1,512780.0,"(2.96, 3.46)"
FGEN,,,,,,,,-440.4,7008.9,51.3,0.9,0.83,,941510.0,"(4.64, 4.26)"
FHB,1.13,9.73,8.92,12.16,0.0,2.08,5.15,11.8,23.2,40.2,0.7,1.07,40.1,565590.0,"(2.72, 6.1)"
FIBK,1.06,16.77,8.4,2.1,0.09,1.85,6.05,6.3,24.0,-0.8,0.2,0.88,19.8,672430.0,"(1.7, 2.61)"
FISV,2.14,26.68,12.45,1.96,0.69,3.91,,8.2,6.1,144.2,0.5,0.86,14.3,3170000.0,"(1.23, 2.41)"
FITB,1.19,7.84,6.54,1.62,0.9,3.35,5.03,14.4,15.2,11.0,0.1,1.25,35.3,5220000.0,"(1.99, 2.58)"
FIVE,9.17,47.65,34.55,3.92,0.0,4.11,,20.1,26.1,-32.4,1.2,1.18,7.8,746420.0,"(6.86, 4.98)"
FIVN,13.93,,28.52,,2.38,,,-36.5,-8.8,-265.8,1.1,0.72,-12.2,1370000.0,"(6.45, 3.27)"
FIZZ,15.15,33.23,29.65,1.3,0.0,1.46,,53.4,57.9,-8.2,0.1,1.0,11.8,133830.0,"(5.16, 9.05)"
FLEX,2.12,11.98,8.69,0.73,0.89,1.76,,19.4,13.1,4.6,0.3,1.48,2.8,4770000.0,"(1.9, 1.79)"
FLNC,4.97,,348.65,,0.0,,,-25.8,-66.4,59.9,66.9,,-7.5,1300000.0,"(17.18, 4.98)"
FLYW,5.68,,438.77,,0.05,,,-7.4,-3.0,-146.9,1.7,,-12.2,832390.0,"(2.74, 3.29)"
FOCS,3.18,36.45,10.55,2.32,2.38,1.4,,9.0,6.7,-95.6,0.03,1.32,4.3,1060000.0,"(2.57, 1.41)"
FOLD,27.12,,44.67,,3.19,,,-141.7,-40.1,33.4,0.8,0.84,-71.9,2180000.0,"(7.18, 8.28)"
FORM,2.71,44.77,19.74,2.24,0.02,0.64,,6.2,5.8,-154.4,0.7,1.25,6.8,506140.0,"(4.07, 6.14)"
FOX,1.37,11.39,12.65,1.24,,2.61,1.68,,,,43.16,,,1210000.0,"(1.44, 1.63)"
FOXA,1.5,11.88,9.96,1.23,0.0,2.72,1.55,13.2,10.6,485.9,0.2,0.87,10.5,2600000.0,"(6.47, 10.69)"
FOXF,4.33,23.72,18.33,1.58,0.18,4.84,,19.9,16.5,40.3,0.3,1.84,12.8,206770.0,"(5.6, 11.43)"
FRHC,6.0,109.78,,,1.84,0.64,,,22.4,-19.9,71.58,1.14,,214790.0,"(1.19, 0.94)"
FRME,0.99,8.85,7.78,1.26,0.0,3.81,3.8,11.5,21.7,33.0,1.2,1.12,36.5,164150.0,"(0.86, 3.07)"
FROG,2.91,,66.3,,0.0,,,-14.4,-15.2,1.5,19.0,,-32.2,784670.0,"(1.2, 1.21)"
FRPT,2.58,,,,0.0,,,-6.3,-5.1,71.6,0.1,0.97,-10.0,649050.0,"(11.2, 8.01)"
FRSH,3.85,,215.54,,0.0,,,-21.6,-23.3,29.7,1.7,,-46.6,1640000.0,"(6.75, 6.51)"
FSLR,3.72,,15.87,,0.03,,,-0.8,-1.3,-105.8,0.3,1.36,-1.7,2820000.0,"(3.44, 1.24)"
FSV,4.75,35.82,26.42,2.39,0.81,3.76,0.9,14.0,10.4,23.6,12.46,0.99,3.2,47920.0,"(1.21, 9.81)"
FTAI,126.47,,9.34,,116.35,,4.99,-58.4,-8.6,204.8,0.2,1.87,-31.1,1320000.0,"(6.2, 4.64)"
FTDR,34.32,29.69,15.61,2.23,9.98,0.87,,302.1,10.7,37.6,0.35,0.77,4.3,741510.0,"(5.96, 6.53)"
FTNT,,55.44,35.43,2.92,,1.07,,-314.2,132.4,66.4,12.0,1.15,19.4,5290000.0,"(2.15, 2.57)"
FULT,1.05,8.93,7.77,1.12,0.23,1.67,4.02,11.9,23.7,28.3,0.3,0.82,32.0,991240.0,"(2.87, 4.81)"
FUTU,2.52,21.48,14.26,13.68,0.32,2.14,,12.2,8.8,34.4,15.04,0.81,35.6,3330000.0,"(8.8, 2.23)"
FWONA,2.09,25.86,58.21,,0.43,2.39,,8.5,4.9,352.6,3.68,1.08,21.7,231560.0,"(2.0, 1.93)"
FWONK,2.45,33.57,64.01,,,2.04,,,,,2.52,,,885750.0,"(3.29, 7.43)"
FWRD,3.96,14.78,14.78,1.12,0.19,7.15,0.91,28.8,23.6,14.1,0.84,1.13,9.7,189390.0,"(1.89, 2.61)"
FYBR,1.13,13.2,54.05,,1.78,1.8,,9.0,2.6,-17.7,0.21,,7.6,1130000.0,"(7.91, 17.12)"
GBDC,0.85,18.35,8.09,1.84,1.23,0.68,10.59,4.5,3.4,-59.6,4.23,0.69,26.5,751520.0,"(2.08, 4.47)"
GDRX,3.11,,19.28,,0.81,,,-4.1,-0.5,95.0,1.8,,-4.3,1680000.0,"(17.2, 7.76)"
GDS,0.88,,,,1.81,,,-7.0,0.6,-3.9,1.27,0.71,-18.3,1250000.0,"(6.45, 9.05)"
GEHC,3.68,18.23,17.9,,0.88,4.18,,,11.1,9.7,0.17,,10.4,3170000.0,"(2.2, 3.15)"
GEN,8.13,18.16,8.04,1.36,7.68,0.9,3.05,84.7,21.9,-25.8,8.3,0.81,17.8,3510000.0,"(2.16, 3.75)"
GFS,3.53,24.31,20.07,9.84,0.25,2.63,,16.1,11.9,1413.3,,,17.8,2110000.0,"(2.18, 5.56)"
GH,43.83,,,,18.89,,,-242.7,-46.0,-52.7,0.1,0.87,,2200000.0,"(7.17, 3.18)"
GILD,4.7,21.86,11.06,8.66,1.19,3.64,3.77,22.3,13.1,328.3,0.1,0.4,16.8,6610000.0,"(1.27, 2.37)"
GLBE,4.61,,,,0.0,,,-21.1,-19.8,-18.1,23.0,,-47.8,1050000.0,"(5.08, 6.02)"
GLNG,0.93,2.67,8.17,0.67,0.49,8.14,,33.9,14.1,767.1,46.5,0.68,,1080000.0,"(2.16, 1.84)"
GLPG,0.89,,,,0.01,,,-3.0,-6.3,133.4,,0.3,-14.6,267900.0,"(3.33, 4.91)"
GLPI,3.46,18.97,17.51,2.26,1.64,2.66,5.71,20.1,10.1,50.0,0.1,1.03,52.2,1130000.0,"(1.81, 3.95)"
GMAB,6.03,30.28,4.43,1.12,0.02,1.19,,21.8,17.3,-18.3,,0.79,37.8,601430.0,"(0.44, 4.79)"
GNTX,2.95,19.53,12.8,1.24,0.0,1.36,1.81,15.7,15.4,3.7,0.1,0.92,16.4,1200000.0,"(1.54, 3.0)"
GO,2.37,41.65,24.24,3.58,0.34,0.65,,6.1,5.6,136.3,0.6,,1.8,1030000.0,"(10.94, 9.44)"
GOGO,,22.05,19.55,3.5,,0.69,,-56.1,21.6,-79.5,0.1,1.32,22.8,707480.0,"(3.85, 5.19)"
GOOG,4.6,20.46,15.05,1.32,,4.48,,,,-34.0,0.02,,,30140000.0,"(0.58, 1.0)"
GOOGL,4.59,20.31,14.82,1.31,0.06,4.49,,23.5,23.4,-31.5,0.28,1.08,21.2,37630000.0,"(0.7, 1.11)"
GPRE,2.0,,12.84,,0.7,,,-13.8,-6.7,-264.6,3.21,1.76,-3.5,810760.0,"(14.63, 10.34)"
GRAB,1.66,,,,0.21,,,-23.8,-17.3,81.4,27.81,,,16900000.0,"(3.64, 5.99)"
GRFS,1.69,76.4,15.59,6.2,1.56,0.1,8.61,,3.4,,,0.44,,974510.0,"(3.21, 4.46)"
GT,0.55,14.65,6.17,1.58,1.49,0.7,,3.9,3.9,-118.9,0.44,1.81,1.0,4200000.0,"(4.65, 3.12)"
GTLB,8.69,,,,0.0,,,-23.2,-16.4,47.1,1.3,,-47.3,2029999.9999999998,"(8.53, 3.59)"
HALO,34.06,29.78,11.31,0.99,8.87,1.44,,98.6,13.0,-10.6,0.8,1.27,30.6,1220000.0,"(5.16, 5.63)"
HAS,2.32,32.67,9.55,3.94,1.4,1.46,5.88,6.9,5.1,-257.5,0.2,0.73,3.5,1930000.0,"(6.21, 4.1)"
HBAN,1.03,7.67,7.18,,0.61,1.45,5.58,13.6,17.8,63.9,0.6,1.14,35.6,14530000.0,"(3.14, 3.09)"
HCM,3.74,,,,0.04,,,-42.7,-64.3,-118.9,0.41,1.03,-84.6,294320.0,"(0.77, 2.31)"
HCP,4.53,,,,0.0,,,-32.4,-22.6,-213.5,0.3,,-92.2,1510000.0,"(8.27, 4.02)"
HELE,1.66,16.53,11.6,2.07,0.74,6.09,,10.6,11.0,-30.6,0.2,0.66,6.8,434020.0,"(14.43, 7.89)"
HLNE,6.08,25.04,17.72,1.67,0.5,2.59,2.47,25.7,19.9,-77.6,3.5,1.1,18.6,187900.0,"(4.84, 8.62)"
HOLX,3.8,19.97,19.31,2.0,0.56,3.92,,20.0,17.5,-61.4,1.1,1.01,22.2,1630000.0,"(2.69, 4.01)"
HON,7.76,26.56,19.25,3.36,1.17,7.27,2.13,28.3,13.7,-26.6,0.1,1.09,14.0,3070000.0,"(0.65, 1.4)"
HOOD,1.15,,,,0.26,,,-14.7,-11.5,62.9,0.4,,-75.7,7520000.0,"(5.08, 4.71)"
HPK,2.11,11.89,4.1,,0.6,1.86,0.45,22.1,18.5,43.6,9.6,0.78,28.3,236200.0,"(11.77, 6.96)"
HQY,2.35,,29.78,,0.49,,,-3.2,-0.6,67.8,0.5,0.81,-7.1,744700.0,"(3.61, 4.01)"
HRMY,6.12,14.0,11.42,,0.48,2.96,,60.1,33.1,109.6,1.49,,41.4,562510.0,"(9.94, 10.3)"
HSAI,,,,,,,,199.6,10.6,-33.2,23.98,,,841500.0,"(0.13, 0.09)"
HSIC,3.02,19.92,13.36,2.34,0.33,3.89,,15.1,12.6,-66.9,0.2,0.81,4.3,906470.0,"(3.78, 5.45)"
HST,1.68,17.86,18.73,0.63,0.63,0.88,3.04,9.4,6.9,-54.1,1.23,1.32,12.9,7290000.0,"(4.71, 4.57)"
HTHT,12.25,,48.16,,1.63,,0.43,-22.3,0.4,-424.6,56.4,1.0,-16.0,1530000.0,"(4.95, 6.44)"
HTLF,1.01,8.06,6.99,0.81,0.23,4.79,3.11,12.3,26.4,22.6,0.8,1.09,30.3,165490.0,"(0.75, 1.75)"
HTZ,2.12,3.4,7.89,,5.47,5.0,,76.0,13.9,122.1,0.2,,23.7,2980000.0,"(4.65, 5.01)"
HUBG,1.74,8.09,10.92,0.49,0.21,10.63,,23.5,18.7,-2.5,0.2,0.92,6.7,222160.0,"(1.9, 2.74)"
HWC,1.02,6.65,6.59,0.83,0.07,5.98,3.02,15.5,26.3,6.2,0.7,1.38,45.4,516419.99999999994,"(2.84, 4.66)"
HZNP,4.9,49.37,16.14,9.87,0.51,2.22,,10.5,8.0,-29.4,1.25,1.14,14.4,3660000.0,"(1.46, 0.89)"
IAC,0.71,,,,0.35,,,-18.9,-1.1,-134.4,1.0,1.69,-22.4,992270.0,"(2.6, 2.05)"
IART,2.42,24.35,13.72,3.29,0.8,2.16,,10.6,6.2,20.4,0.2,1.15,11.6,497640.0,"(6.56, 9.58)"
IBKR,2.76,20.45,13.22,0.89,3.15,3.73,0.52,14.5,15.6,93.9,2.0,0.78,9.3,1110000.0,"(1.54, 1.38)"
IBOC,1.32,9.04,,0.9,0.07,4.79,2.91,14.6,17.6,90.1,4.1,1.03,57.1,244710.0,"(1.53, 3.31)"
IBTX,0.82,10.23,9.07,1.02,0.13,4.7,3.16,8.1,18.6,-21.6,1.6,1.41,29.7,147270.0,"(4.16, 9.99)"
ICLR,2.04,34.57,14.44,2.45,0.55,6.13,,6.1,5.6,54.6,4.0,1.14,6.5,510640.0,"(0.9, 1.43)"
ICUI,1.79,,18.57,,0.79,,,-3.6,-0.1,-171.2,1.5,0.64,-3.3,187330.0,"(5.73, 6.15)"
IDCC,3.13,27.14,19.93,1.06,0.87,2.71,1.91,11.6,4.8,-11.1,1.5,1.21,18.4,400500.0,"(13.11, 9.57)"
IDXX,62.8,57.41,42.15,3.19,2.22,8.03,,124.5,36.7,8.7,0.3,1.19,20.2,499440.0,"(2.09, 3.43)"
IEP,3.69,,,,1.53,,15.88,-3.9,2.7,57.3,0.1,0.72,-1.3,485810.0,"(0.36, 2.51)"
ILMN,5.4,,72.95,,0.41,,,-50.8,-45.5,-224.1,0.1,1.16,-96.1,1290000.0,"(2.77, 3.37)"
IMCR,9.03,,,,,,,,,,14.68,,,299600.0,"(5.54, 6.99)"
INCY,3.73,48.08,14.71,2.83,0.01,1.52,,8.2,8.9,-95.0,0.4,0.74,10.0,1610000.0,"(2.98, 4.06)"
INDB,1.04,11.57,10.34,4.63,0.04,5.7,3.34,9.1,17.4,4426.6,0.4,0.86,41.0,221830.0,"(2.69, 5.41)"
INMD,4.62,16.4,10.45,1.31,0.0,1.89,,33.7,28.5,-28.1,14.3,2.12,35.6,1500000.0,"(6.96, 3.21)"
INSM,27.76,,,,13.14,,,-867.2,-36.9,-26.6,0.7,1.57,,1340000.0,"(7.76, 7.77)"
INTA,9.7,,258.8,,0.0,,,-35.5,-38.5,21.5,11.2,,-29.1,222280.0,"(0.96, 2.4)"
INTC,1.09,13.81,14.4,,0.41,1.95,1.86,7.9,2.5,-114.3,0.07,0.82,12.7,43200000.0,"(1.71, 1.64)"
INTU,6.95,57.49,25.15,3.86,0.45,6.81,0.8,11.9,9.0,71.0,0.2,1.17,14.2,1550000.0,"(1.0, 1.76)"
IONS,8.33,,,,2.08,,,-43.1,-24.0,-123.2,0.4,0.54,-45.9,969940.0,"(5.78, 8.42)"
IOSP,2.37,18.64,14.38,2.49,0.0,5.33,1.29,12.5,13.1,5.8,0.1,1.19,6.8,101440.0,"(0.96, 2.32)"
IPAR,6.91,35.36,30.17,2.95,0.29,3.78,1.87,20.6,19.0,,43.45,1.04,11.1,122810.0,"(1.54, 2.25)"
IPGP,2.38,59.06,20.4,12.84,0.01,1.98,,4.3,4.0,-257.0,15.7,1.22,7.7,285790.0,"(3.49, 3.71)"
IQ,6.97,,16.32,,3.4,,,-2.2,4.5,115.6,0.22,0.52,-0.5,20770000.0,"(6.97, 1.71)"
IRDM,6.67,887.61,237.88,88.76,1.32,0.07,0.87,0.8,2.9,85.6,1.5,1.11,1.2,657800.0,"(3.35, 5.75)"
IRTC,14.02,,,,0.15,,,-48.0,-41.5,39.3,0.7,1.41,-28.3,340380.0,"(7.19, 6.27)"
ISEE,5.33,,,,0.18,,,-52.2,,-64.5,0.4,1.09,,2430000.0,"(7.42, 4.14)"
ISRG,7.24,62.37,36.52,4.3,0.0,3.65,,11.3,11.9,-12.0,0.51,1.29,21.3,1770000.0,"(0.59, 1.16)"
ITCI,6.52,,,,0.0,,,-35.9,-40.2,55.8,0.1,1.16,,674160.0,"(3.59, 4.91)"
ITRI,2.02,,23.7,,0.0,,,-0.9,-0.1,137.8,0.5,1.35,-0.5,261610.0,"(3.09, 5.29)"
JAMF,3.36,,52.22,,0.52,,,-20.4,-12.9,12.9,0.7,,-29.5,414580.0,"(2.79, 8.11)"
JAZZ,2.74,,6.91,,1.86,,,-7.1,1.1,-564.4,2.9,0.74,-6.1,584250.0,"(3.98, 4.18)"
JBHT,4.91,18.85,17.06,1.36,0.34,9.21,0.97,28.2,20.7,-15.6,0.3,1.14,6.5,702340.0,"(2.52, 2.94)"
JBLU,0.65,,6.73,,1.02,,,-10.3,-3.1,118.2,0.2,1.61,-4.0,9140000.0,"(4.97, 1.75)"
JD,2.05,42.99,10.58,1.35,0.2,0.93,,5.0,4.7,157.5,6.18,0.46,1.0,8330000.0,"(1.17, 1.8)"
JJSF,3.14,63.12,26.83,,0.11,2.22,2.0,5.0,5.1,-40.6,18.8,0.54,3.0,87820.0,"(5.85, 10.34)"
JKHY,6.82,29.3,26.5,3.26,0.18,4.82,1.47,24.8,24.4,-14.9,0.5,0.65,17.7,469540.0,"(2.63, 4.05)"
KDP,1.93,33.98,17.83,5.18,0.51,1.01,2.34,5.7,5.5,-46.2,37.2,0.61,10.2,7230000.0,"(1.63, 2.0)"
KHC,0.96,19.92,13.28,8.88,0.41,1.91,4.2,4.8,4.5,279.3,0.4,0.7,8.9,6690000.0,"(2.24, 2.62)"
KLAC,19.81,15.0,19.03,3.59,0.0,24.32,1.43,139.0,43.3,46.4,0.3,1.38,33.8,1200000.0,"(1.75, 2.01)"
KLIC,2.51,9.94,16.03,0.5,0.0,5.2,1.47,26.7,35.7,-88.0,3.1,1.43,25.8,453370.0,"(15.25, 18.64)"
KRTX,5.65,,,,0.0,,,-34.9,-25.8,-135.0,0.2,1.17,,286810.0,"(5.37, 6.07)"
KRYS,3.6,,,,0.0,,,-25.8,,-32.2,13.7,0.88,,195790.0,"(5.81, 6.1)"
LAMR,8.35,22.76,17.44,7.59,2.79,4.31,5.1,35.5,12.4,-46.6,0.8,1.42,21.6,482960.0,"(2.47, 4.42)"
LANC,5.95,51.43,27.21,17.14,0.0,3.7,1.78,11.9,10.5,-38.7,1.4,0.22,5.8,154670.0,"(4.5, 5.42)"
LAZR,,,,,,,,-778.9,-76.6,-93.4,1.3,1.62,,12360000.0,"(28.54, 5.45)"
LBRDA,1.35,9.81,5.73,0.29,0.48,7.88,,14.1,-1.6,-45.5,9.72,1.16,,200980.0,"(0.39, 2.6)"
LBRDK,1.34,10.56,6.32,,,7.33,,,,-54.0,7.49,,,1030000.0,"(4.3, 4.88)"
LBTYA,0.37,55.69,,,0.61,0.33,,6.1,1.5,,0.3,1.27,20.5,1510000.0,"(1.31, 3.65)"
LBTYB,,,,,,,,,,,,,,,
LBTYK,0.39,16.21,,,,1.18,,,,,7.76,,,1910000.0,"(2.79, 3.65)"
LCID,3.09,,,,0.48,,,-67.7,-40.3,-56.0,1.5,,,32540000.0,"(8.25, 4.08)"
LECO,9.23,20.59,17.84,1.39,1.16,8.04,1.55,50.6,22.2,49.6,0.2,1.16,12.6,389420.0,"(3.05, 4.42)"
