Symbol,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),Dividend %,ROE,ROI,EPS Q/Q,Insider Own,Beta,Profit Margin,Avg Volume,Short Float / Ratio
RGEN,4.92,52.12,50.16,8.7,0.15,3.24,,10.2,8.7,69.8,0.6,1.1,23.2,543360.0,"(7.48, 7.61)"
RGLD,2.83,32.49,32.49,4.09,0.21,3.64,1.27,8.9,7.6,-17.3,0.2,0.65,39.6,474190.0,"(4.31, 5.96)"
RIVN,0.92,,,,0.0,,,-42.0,-45.6,84.6,0.1,,,30280000.0,"(4.39, 1.16)"
RKLB,2.77,,,,0.18,,,-19.4,-17.4,,0.9,,-64.4,3790000.0,"(5.93, 5.81)"
RLAY,2.04,,,,0.0,,,-32.5,-31.5,15.1,1.2,,,1430000.0,"(15.05, 12.47)"
RMBS,5.7,,23.51,,0.01,,,-1.8,-3.0,178.3,0.2,1.31,-3.1,922100.0,"(2.8, 3.21)"
RNST,0.81,10.52,9.34,1.05,0.2,2.95,2.83,7.8,16.1,24.3,0.2,1.14,30.7,215620.0,"(1.59, 4.02)"
RNW,1.4,,29.31,,4.25,,,-7.5,4.3,30.5,15.25,,-12.3,973110.0,"(4.93, 4.72)"
ROIV,5.84,,,,0.43,,,-96.6,-68.6,-19.1,14.5,,,2410000.0,"(2.55, 4.41)"
ROKU,3.14,,,,0.03,,,-18.1,-19.7,,0.1,1.74,-15.9,7910000.0,"(9.74, 1.5)"
ROST,8.53,23.59,18.59,2.9,0.59,4.38,1.3,36.0,27.6,-8.7,0.1,1.0,7.9,2260000.0,"(1.19, 1.78)"
RPD,,,34.63,,,,,91.2,-16.4,75.6,1.5,1.13,-18.2,1130000.0,"(7.14, 3.67)"
RPRX,2.57,297.91,8.46,31.19,1.26,0.11,2.44,0.7,2.4,,0.1,,1.9,1660000.0,"(4.41, 4.44)"
RRR,54.71,14.46,18.31,,68.15,2.88,2.41,462.4,17.1,-22.4,0.2,2.18,12.3,406200.0,"(3.85, 5.03)"
RUM,10.09,,,,0.0,,,,-24.0,-327.4,6.0,,,1040000.0,"(10.88, 3.14)"
RUN,0.68,27.97,,,1.26,0.76,,2.7,-4.4,253.8,1.7,2.37,7.5,7220000.0,"(15.79, 4.47)"
RUSHA,1.65,7.66,11.14,,0.76,6.85,1.6,23.9,12.6,47.0,0.4,0.96,5.5,224850.0,"(2.8, 5.8)"
RUSHB,1.72,8.04,,,,6.85,1.53,,,43.3,60.3,,,16640.0,"(3.37, 9.7)"
RVMD,2.94,,,,0.0,,,-41.2,-37.6,11.3,0.8,,,1240000.0,"(8.4, 5.91)"
RVNC,177.87,,,,30.17,,,-786.7,-87.3,-96.5,1.1,0.88,,1600000.0,"(15.33, 7.6)"
RXDX,7.52,,,,0.0,,,-43.4,,-17.6,0.2,,,579790.0,"(12.58, 7.14)"
RYAAY,3.09,14.23,14.83,,0.8,6.36,,22.1,-1.4,309.4,9.1,1.46,13.5,396530.0,"(0.36, 1.94)"
SAGE,2.06,,,,0.0,,,-37.0,-43.7,-16.8,0.1,1.15,,494250.0,"(9.97, 10.49)"
SAIA,4.55,20.18,19.17,2.16,0.02,13.4,,24.7,22.3,-3.8,0.2,1.52,12.8,404800.0,"(14.87, 9.66)"
SANM,1.62,12.24,7.9,,0.17,4.68,,15.2,13.6,66.8,1.8,1.17,3.4,521059.99999999994,"(2.87, 3.08)"
SBAC,,59.06,42.52,3.96,,4.22,1.37,-8.6,11.3,113.9,0.4,0.51,17.5,766880.0,"(1.17, 1.63)"
SBCF,0.94,12.77,7.92,1.42,0.05,1.67,3.19,7.6,18.2,-45.6,0.9,1.13,28.0,718590.0,"(5.91, 4.99)"
SBLK,0.17,2.18,5.6,,0.64,9.82,11.23,27.4,18.5,74.9,19.8,1.1,39.4,1600000.0,"(6.72, 3.98)"
SBNY,0.57,3.71,4.43,0.59,0.07,18.78,4.02,14.6,17.8,43.4,0.2,1.68,44.8,1710000.0,"(6.11, 2.22)"
SBRA,0.85,,21.17,,0.82,,10.7,-2.4,0.6,-243.7,0.4,1.32,-12.4,1870000.0,"(4.72, 5.75)"
SBUX,,34.38,24.27,1.91,,2.88,2.14,-38.2,57.9,7.0,0.1,0.95,10.1,6100000.0,"(1.03, 1.93)"
SEDG,8.14,190.6,27.23,4.54,0.0,1.66,,4.5,2.9,-50.9,0.6,1.45,3.0,1030000.0,"(4.73, 2.53)"
SEIC,3.8,15.99,14.01,1.33,0.0,3.45,1.56,24.4,17.5,-19.6,7.9,1.03,23.9,474310.0,"(1.14, 2.67)"
SFM,3.31,13.75,12.27,2.01,0.25,2.38,,25.4,20.7,31.1,0.5,0.36,4.1,1370000.0,"(15.11, 11.33)"
SFNC,0.74,9.16,8.85,1.83,0.12,2.07,4.22,8.1,17.9,55.2,0.7,0.86,29.8,515640.0,"(2.8, 6.79)"
SGEN,13.12,,,,0.0,,,-21.1,-22.1,16.5,0.3,0.53,-31.1,1160000.0,"(1.79, 2.85)"
SGML,18.26,,6.84,,0.0,,,-31.9,,-4.4,0.72,0.4,,724450.0,"(4.15, 2.95)"
SGRY,1.54,,35.93,,1.31,,,-4.0,7.0,,0.2,2.76,-2.2,666260.0,"(8.72, 7.02)"
SHC,13.58,,17.78,,5.72,,,-41.8,-6.8,-994.6,0.4,,-23.3,2320000.0,"(1.88, 2.22)"
SHLS,8.7,44.62,22.03,0.62,0.82,0.47,,149.8,10.8,,1.0,,39.0,2740000.0,"(6.4, 2.62)"
SHOO,3.1,12.52,12.55,1.25,0.0,2.76,2.43,25.9,26.0,-48.9,1.1,1.16,10.2,856570.0,"(5.33, 4.56)"
SIGI,2.39,26.04,12.4,1.94,0.22,3.54,1.3,9.1,10.1,-12.7,0.8,0.64,6.0,271540.0,"(2.22, 4.82)"
SILK,9.53,,,,0.46,,,-63.1,-21.9,20.3,2.0,1.24,-39.7,438350.0,"(6.02, 5.1)"
SIMO,2.76,6.86,11.16,1.37,0.0,8.92,3.27,25.6,23.7,-59.0,7.4,0.92,18.2,342710.0,"(6.35, 5.17)"
SIRI,,11.9,11.31,3.18,,0.3,2.67,-34.3,26.9,17.0,0.3,0.98,13.5,16030000.000000002,"(26.89, 11.05)"
SITM,3.96,127.64,48.27,18.5,0.0,1.02,,3.4,2.3,-107.9,4.9,1.85,8.2,247900.0,"(5.48, 3.57)"
SIVB,0.28,2.3,2.68,0.29,0.43,25.35,,12.4,19.8,-25.6,0.1,1.65,26.6,1680000.0,"(5.44, 1.91)"
SLAB,3.91,65.46,31.5,18.18,0.38,2.58,,5.6,4.2,451.5,0.7,1.11,8.9,432400.0,"(7.86, 5.66)"
SLM,2.03,7.21,4.45,0.25,3.55,1.7,3.59,27.4,10.3,-131.6,0.2,1.25,22.6,1990000.0,"(2.32, 2.78)"
SMCI,2.61,8.49,9.33,0.85,0.09,10.52,,37.7,14.0,300.4,12.8,1.25,8.7,1560000.0,"(10.08, 2.97)"
SMPL,2.43,29.53,20.01,4.01,0.27,1.22,,8.6,8.7,64.7,1.8,0.78,10.4,610130.0,"(3.31, 5.28)"
SMTC,2.34,12.75,12.87,1.11,0.57,2.29,,19.2,14.1,-32.4,0.1,1.74,18.9,1150000.0,"(9.41, 5.17)"
SNEX,1.54,7.9,10.06,0.42,5.38,11.59,,21.8,3.3,77.5,3.5,0.92,0.4,127870.0,"(0.68, 0.92)"
SNPS,9.66,59.06,29.4,3.48,0.0,6.05,,16.9,18.5,-12.2,0.2,1.18,18.2,796260.0,"(1.25, 2.38)"
SNY,1.49,13.35,9.44,1.09,0.29,3.52,4.05,,9.0,50.7,16.4,0.54,,1980000.0,"(0.12, 1.39)"
SOFI,0.97,,,,1.06,,,-6.9,4.9,76.4,1.3,,-46.7,37910000.0,"(8.8, 2.02)"
SONO,3.85,149.84,42.62,24.56,0.0,0.13,,3.0,15.7,-34.1,1.5,1.85,1.1,1910000.0,"(9.58, 6.24)"
SPLK,,,25.27,,,,,235.9,-34.7,90.7,0.3,1.32,-27.3,1940000.0,"(3.64, 2.82)"
SPSC,9.52,94.73,44.56,6.32,0.0,1.49,,10.8,10.2,25.2,0.8,0.79,12.2,140740.0,"(1.88, 4.8)"
SPT,22.33,,290.96,,0.0,,,-35.5,-36.6,-18.4,1.8,,-19.8,635890.0,"(12.18, 8.89)"
SPWR,4.73,29.65,22.54,0.57,0.91,0.51,,-36.1,0.8,272.2,0.3,1.95,-8.9,4070000.0000000005,"(9.14, 3.88)"
SRAD,4.09,67.53,47.63,,0.3,0.17,,6.9,3.1,241.0,3.0,,7.7,177270.0,"(2.0, 22.57)"
SRCL,1.64,70.92,18.07,6.45,0.62,0.61,,2.4,3.3,332.3,0.1,1.25,2.1,364070.0,"(1.5, 3.79)"
SRPT,32.6,,29.76,,4.01,,,-117.3,-35.1,12.4,0.2,0.98,-75.4,1180000.0,"(9.65, 6.83)"
SSB,1.03,10.51,8.81,0.88,0.08,6.58,2.89,9.8,18.5,23.5,0.8,0.81,35.5,484730.0,"(2.33, 3.6)"
SSNC,2.26,21.88,10.11,2.78,1.17,2.48,1.47,10.8,6.9,-13.9,0.1,1.43,12.3,1390000.0,"(1.34, 2.13)"
SSRM,0.78,15.32,15.67,,0.11,0.89,2.06,5.4,6.1,-20.8,0.6,0.9,16.9,1470000.0,"(3.19, 4.46)"
STAA,8.57,75.21,46.97,2.51,0.0,0.79,,12.6,11.1,19.1,0.1,1.2,13.6,810030.0,"(9.94, 5.88)"
STLD,2.52,5.63,14.51,0.2,0.38,20.8,1.45,50.4,35.3,-34.2,5.8,1.52,17.4,2370000.0,"(2.68, 1.87)"
STNE,1.09,,2.75,,0.47,,,-10.7,11.3,115.4,1.63,2.21,-13.8,4800000.0,"(9.49, 4.88)"
STRA,1.2,42.97,21.71,7.16,0.06,1.95,2.87,2.8,2.8,-14.8,0.2,0.63,4.4,129199.99999999999,"(4.95, 9.07)"
STX,,21.53,12.14,,,2.8,4.64,-849.5,33.4,-107.2,0.4,1.12,6.6,2550000.0,"(4.49, 3.61)"
SUPN,2.14,33.48,17.35,19.81,0.45,1.04,,7.1,3.6,944.1,1.6,1.06,9.1,418130.0,"(8.96, 11.04)"
SWAV,13.22,32.86,41.01,,0.05,5.69,,60.0,41.0,910.6,1.9,0.97,44.1,499590.0,"(3.65, 2.61)"
SWKS,3.2,15.19,10.3,1.01,0.39,7.33,2.23,22.0,17.3,-19.6,0.2,1.28,22.3,2089999.9999999998,"(1.88, 1.42)"
SYNA,3.24,18.38,11.23,1.23,0.75,5.77,,18.6,12.4,-68.0,1.5,1.58,13.4,459870.0,"(4.96, 4.2)"
SYNH,1.0,13.23,8.58,48.99,0.77,2.58,,7.9,5.7,-25.6,0.2,1.65,4.9,1780000.0,"(10.48, 3.61)"
TBBK,2.09,11.42,6.54,0.95,0.18,2.28,,19.5,23.8,54.1,0.4,1.51,42.2,332990.0,"(3.41, 5.52)"
TCBI,0.94,8.3,12.14,1.04,0.34,6.19,,11.6,19.3,252.0,0.8,1.32,27.5,438820.0,"(4.47, 4.85)"
TCOM,1.5,123.04,20.71,,0.41,0.3,,1.3,-0.4,326.0,4.0,0.53,7.0,5490000.0,"(2.87, 3.35)"
TEAM,70.05,,753.9,,0.0,,,-84.2,-11.4,-807.8,0.6,0.82,-11.2,3110000.0,"(3.36, 1.55)"
TECH,6.17,44.66,30.45,4.15,0.11,1.61,0.45,15.0,13.2,-36.4,0.8,1.25,23.4,1010000.0,"(1.65, 2.54)"
TENB,17.5,,55.72,,1.35,,,-37.1,-11.8,-86.8,0.4,1.24,-13.5,851600.0,"(3.51, 4.56)"
TER,6.53,24.34,19.87,2.28,0.02,4.22,0.43,30.2,28.3,-17.3,0.3,1.55,22.7,1600000.0,"(2.45, 2.37)"
TFSL,1.87,43.84,41.5,,0.0,0.28,9.08,4.3,13.5,38.5,0.4,0.51,17.3,257829.99999999997,"(0.89, 9.6)"
TGTX,35.02,,,,1.21,,,-173.0,-148.7,45.1,1.1,2.08,,5890000.0,"(19.48, 4.41)"
THRM,2.89,80.1,15.67,3.2,0.35,0.73,,3.8,3.8,-121.2,0.6,1.4,2.0,146490.0,"(1.71, 3.84)"
TIGO,0.87,35.37,9.75,,2.17,0.52,,5.4,6.1,-93.6,36.0,1.03,3.2,225370.0,"(0.5, 2.19)"
TMDX,12.48,,,,0.31,,,-29.8,-12.6,54.0,1.5,1.47,-38.8,415490.0,"(4.87, 3.6)"
TMUS,2.49,60.1,14.56,0.93,1.13,2.33,,3.7,4.0,328.5,0.3,0.56,3.3,5210000.0,"(3.41, 3.86)"
TNDM,5.84,,,,0.64,,,-21.6,-13.1,-247.6,0.1,0.94,-11.8,1060000.0,"(9.99, 5.92)"
TOWN,1.08,10.42,10.14,,0.14,2.6,3.39,9.8,17.0,-0.5,5.1,1.0,35.3,166250.0,"(1.09, 4.38)"
TPG,1.89,91.81,12.16,7.84,0.0,0.3,7.29,23.5,145.0,-76.8,12.77,,21.0,490570.0,"(8.05, 10.2)"
TRIP,3.05,149.05,11.86,4.46,1.05,0.13,,2.5,3.1,93.2,0.2,1.43,1.3,2250000.0,"(7.57, 3.45)"
TRMB,2.91,26.55,16.31,2.65,0.38,1.8,,11.4,8.8,-24.0,0.2,1.58,12.2,1290000.0,"(1.01, 1.93)"
TRMD,1.88,8.83,,,,3.66,,,,,0.36,,,276550.0,"(1.48, 1.48)"
TROW,2.7,15.95,14.65,,0.0,6.69,4.58,17.0,21.2,-63.6,0.8,1.32,23.5,1730000.0,"(9.08, 11.51)"
TRUP,6.74,,,,0.23,,,-14.2,-11.5,-30.2,1.4,1.77,-4.9,456740.0,"(21.52, 17.53)"
TSCO,12.31,23.46,19.68,2.32,0.59,9.71,1.81,56.6,34.5,26.3,0.1,0.83,7.7,1040000.0,"(3.99, 4.23)"
TSEM,2.38,17.1,15.53,1.14,0.14,2.39,,15.1,13.2,60.1,19.6,0.88,15.8,472780.0,"(0.66, 1.52)"
TSLA,12.33,48.13,31.78,4.08,0.07,3.62,,32.5,26.1,54.8,0.1,2.05,15.4,182370000.0,"(3.08, 0.45)"
TTD,12.56,577.13,38.69,24.05,0.0,0.09,,2.9,1.9,718.5,0.2,1.8,3.4,4820000.0,"(3.6, 3.3)"
TTEC,3.05,16.57,12.55,3.49,1.72,2.18,2.88,19.3,9.3,-22.0,0.6,1.03,4.2,139310.0,"(1.55, 2.09)"
TTEK,5.36,23.09,23.57,4.71,0.19,5.79,0.69,25.1,17.7,73.7,1.1,0.97,10.8,273580.0,"(1.42, 2.73)"
TTWO,1.96,,21.29,,0.32,,,-5.0,11.2,-173.7,0.1,0.68,-8.3,1910000.0,"(2.78, 2.41)"
TW,2.83,45.48,27.92,3.46,0.0,1.48,0.53,6.4,6.8,79.9,0.2,0.95,26.0,932950.0,"(2.56, 3.04)"
TWKS,2.93,,14.17,,0.51,,,-14.1,-6.6,227.7,1.3,,-8.1,629110.0,"(1.93, 2.74)"
TWNK,1.81,20.36,20.23,2.45,0.56,1.19,,9.2,6.2,-7.9,0.61,0.64,12.1,1020000.0,"(3.6, 4.7)"
TXG,6.77,,,,0.0,,,-20.9,-21.3,9.0,1.5,1.73,-32.1,1120000.0,"(6.8, 5.5)"
TXN,10.82,18.49,20.6,1.85,0.6,9.4,2.85,60.9,38.0,-6.4,0.21,1.02,43.5,5230000.0,"(1.78, 3.09)"
TXRH,6.79,25.89,18.74,1.54,0.0,3.97,2.14,27.3,26.0,17.3,0.3,0.96,6.7,879340.0,"(6.75, 5.11)"
UAL,2.32,23.43,4.81,0.39,4.56,2.08,,15.2,5.4,223.6,0.3,1.45,1.6,8350000.0,"(4.38, 1.71)"
UBSI,1.07,12.86,12.28,1.61,0.06,2.81,3.99,8.4,16.3,31.6,1.7,1.08,37.9,553030.0,"(2.67, 6.36)"
UCBI,1.15,10.87,8.72,10.87,0.13,2.52,3.36,8.4,21.4,116.7,0.4,1.01,25.4,545800.0,"(1.9, 3.98)"
UFPI,1.81,7.03,9.14,0.41,0.11,11.01,1.29,28.1,25.3,-5.5,2.0,1.5,6.9,592600.0,"(1.86, 1.87)"
ULCC,4.44,,6.79,,0.84,,,-8.2,-3.9,175.0,0.1,,-1.1,976260.0,"(1.36, 3.0)"
ULTA,13.67,22.58,19.0,1.76,0.0,22.75,,64.9,64.3,35.6,0.1,1.31,11.7,556960.0,"(2.47, 2.23)"
UMBF,1.18,7.35,7.59,,0.14,8.86,2.34,16.3,25.4,28.0,0.7,0.84,37.9,213220.0,"(1.55, 3.18)"
UMPQ,,,,,,,,,,,,,,,
URBN,1.37,15.16,9.37,2.49,0.0,1.7,,12.8,18.0,-55.2,34.45,1.5,4.6,1650000.0,"(14.73, 5.4)"
UTHR,2.16,14.95,10.83,0.87,0.17,15.03,,16.3,13.5,14.2,0.2,0.63,37.6,484370.0,"(2.98, 2.75)"
VC,6.46,35.59,15.78,1.1,0.52,4.36,,21.5,13.8,10.4,0.8,1.81,3.3,310370.0,"(2.74, 2.47)"
VCTR,1.86,7.65,5.83,0.63,0.93,3.81,3.67,26.5,15.7,-21.4,6.9,1.17,32.2,296710.0,"(1.94, 4.05)"
VERX,12.72,,38.7,,0.23,,,-4.6,-0.2,71.4,2.8,,-2.1,220130.0,"(1.05, 2.12)"
VIAV,3.35,30.69,12.83,2.05,1.02,0.33,,11.3,2.4,-74.1,1.1,0.84,6.2,1830000.0,"(2.55, 3.12)"
VICR,4.12,76.49,22.44,3.82,0.0,0.57,,5.7,5.2,-8.6,0.9,1.38,6.4,340840.0,"(7.31, 4.8)"
VIR,1.45,5.91,,0.84,0.0,3.81,,25.2,28.6,-119.4,1.7,0.27,31.9,975930.0,"(4.23, 4.99)"
VIRT,1.26,6.92,6.53,,5.74,2.46,5.63,18.7,5.2,-70.3,0.3,0.2,10.8,1310000.0,"(2.93, 2.17)"
VLY,0.83,8.9,6.81,1.78,0.13,1.14,4.35,9.6,19.8,26.6,1.44,1.15,28.1,3000000.0,"(3.05, 5.07)"
VNOM,2.96,13.75,16.14,1.75,0.84,2.02,3.59,20.8,56.3,-39.9,0.2,1.93,17.5,371510.0,"(1.62, 2.67)"
VOD,0.59,15.0,,0.72,1.36,0.77,8.17,,3.5,-1.0,0.2,0.77,,9230000.0,"(0.1, 0.26)"
VRNS,5.13,,60.03,,0.5,,,-23.8,-18.0,57.6,1.9,0.91,-26.3,1190000.0,"(4.47, 3.98)"
VRNT,2.82,,13.26,,0.0,,,-2.7,1.5,-114.1,2.3,1.02,-2.6,405130.0,"(4.5, 6.96)"
VRRM,10.89,28.85,14.0,3.36,5.24,0.58,,39.1,9.2,53.6,0.6,1.2,12.5,2020000.0,"(8.15, 6.0)"
VRSK,16.14,27.76,28.36,2.48,2.14,6.52,0.75,43.6,21.6,87.1,0.3,0.84,38.2,969010.0,"(0.91, 1.44)"
VRSN,,30.64,23.43,3.83,,6.24,,-46.1,326.4,-43.0,1.1,1.0,47.3,675420.0,"(1.05, 1.63)"
VRTX,5.42,22.89,18.97,3.95,0.03,12.82,,26.7,23.6,5.0,0.1,0.48,37.2,1320000.0,"(1.05, 2.03)"
VSAT,1.05,,,,1.14,,,-5.4,0.4,-36.7,0.4,1.25,-5.5,482420.0,"(9.33, 14.02)"
VTRS,0.57,5.76,3.39,,0.91,1.71,4.88,10.3,2.2,479.6,0.28,1.21,12.8,9130000.0,"(1.73, 2.25)"
VTYX,5.15,,,,0.0,,,-31.2,,-125.8,3.8,,,772940.0,"(9.84, 6.58)"
WAFD,1.04,8.4,7.01,1.2,0.0,3.84,3.1,12.9,26.7,62.5,1.0,0.87,33.5,477060.0,"(2.63, 3.54)"
WB,1.16,46.81,6.63,,0.73,0.35,,2.5,2.4,18.8,6.06,0.54,4.7,1500000.0,"(4.98, 4.62)"
WBA,1.41,,6.96,,0.62,,5.72,-12.0,4.6,-204.4,0.3,0.72,-2.2,6360000.0,"(4.37, 4.91)"
WBD,0.72,,13.69,,1.05,,,-18.7,-5.9,,0.6,1.49,-21.9,26060000.0,"(3.62, 2.59)"
WDAY,8.35,,28.37,,0.53,,,-7.0,-3.8,-66.7,0.9,1.27,-5.9,2009999.9999999998,"(2.03, 2.02)"
WDC,0.93,,21.59,,0.58,,,-0.8,9.2,-178.3,0.7,1.7,-0.6,4750000.0,"(2.53, 1.69)"
WDFC,12.1,37.24,26.8,3.72,0.79,4.58,1.95,32.3,21.1,-23.8,1.1,,12.3,90770.0,"(9.93, 14.63)"
WEN,9.33,24.85,18.16,2.39,7.39,0.82,4.89,39.8,7.3,-19.0,7.4,0.93,8.5,2400000.0,"(3.1, 2.52)"
WERN,1.93,11.82,11.88,2.15,0.48,3.74,1.18,17.5,11.4,-17.8,7.42,0.84,7.3,536600.0,"(5.58, 6.09)"
WFRD,7.51,196.7,10.8,,4.2,0.29,,5.6,11.5,141.7,0.4,,0.6,849720.0,"(4.38, 3.37)"
WING,,93.73,71.14,5.6,,1.77,0.46,-12.9,23.1,154.9,0.1,1.6,14.8,612470.0,"(9.28, 4.51)"
WIRE,1.77,4.79,8.99,0.48,0.0,36.91,0.05,44.0,38.9,19.9,0.2,1.35,23.8,186040.0,"(11.61, 11.0)"
WIX,,,34.81,,,,,404.9,-36.4,64.9,3.49,1.23,-30.6,762020.0,"(5.84, 4.24)"
WMG,56.67,31.69,24.79,2.57,14.61,0.93,2.17,261.7,13.6,-35.2,0.3,,8.3,1420000.0,"(3.62, 2.91)"
WOOF,1.09,29.24,13.16,0.6,0.71,0.33,,3.8,4.8,-62.3,1.3,,1.5,1720000.0,"(21.21, 9.8)"
WSBC,0.82,10.39,9.46,1.04,0.12,3.03,4.45,7.9,16.8,2.3,0.4,0.95,35.4,154470.0,"(1.36, 5.06)"
WSC,6.38,37.66,21.79,,1.97,1.27,,19.4,9.1,106.1,1.8,1.55,15.8,1560000.0,"(2.45, 3.19)"
WSFS,1.08,10.96,7.77,0.91,0.17,3.53,1.55,9.7,20.8,16.0,1.0,1.01,31.6,267250.0,"(2.58, 5.89)"
WTFC,0.99,8.88,6.55,0.89,0.29,8.0,2.25,11.3,21.7,40.8,1.1,1.22,27.6,445590.0,"(1.93, 2.59)"
WTW,2.48,24.0,13.21,1.43,0.47,9.48,1.48,9.7,6.7,22.1,0.3,0.77,11.3,529330.0,"(0.88, 1.76)"
WWD,2.87,34.0,22.44,1.41,0.43,2.75,0.94,8.8,7.1,4.4,0.3,1.47,7.0,338860.0,"(2.19, 3.83)"
WYNN,,,25.81,,,,,68.9,-1.0,118.7,0.3,2.04,-11.3,2600000.0,"(7.81, 2.89)"
XEL,2.15,20.59,18.1,3.15,1.49,3.17,3.19,10.7,6.2,18.8,0.1,0.43,11.3,2620000.0,"(1.33, 2.77)"
XENE,3.11,,,,0.0,,,-17.8,-17.9,-26.5,0.2,1.44,,402740.0,"(5.31, 7.83)"
XM,5.49,,56.49,,0.0,,,-55.0,-56.2,22.3,18.4,,-72.8,2810000.0,"(3.23, 1.76)"
XNCR,2.34,,,,0.0,,,-7.5,-11.4,-116.8,0.87,0.82,-33.5,394060.0,"(7.6, 11.46)"
XP,1.82,9.04,1.3,0.66,2.77,1.21,,21.6,6.2,-18.9,19.35,,26.8,5180000.0,"(4.82, 3.61)"
XPEL,14.27,43.06,23.86,,0.21,1.5,,38.1,28.7,34.7,12.6,1.68,12.8,156310.0,"(6.04, 7.6)"
XRAY,2.12,,16.86,,0.51,,1.49,-22.2,-14.5,-116.6,0.6,0.91,-24.2,2089999.9999999998,"(4.24, 4.34)"
XRX,0.7,,9.02,,1.11,,6.68,-9.2,-4.3,118.9,0.3,1.71,-4.7,1360000.0,"(4.02, 4.3)"
YY,0.35,3.45,13.22,0.15,0.16,8.01,7.39,10.5,-2.0,9593.0,1.63,0.55,23.1,662380.0,"(6.54, 5.3)"
Z,2.1,,24.97,,,,,,,,9.62,,,3880000.0,"(12.73, 4.95)"
ZBRA,5.39,32.4,14.69,8.32,0.74,8.79,,17.1,9.4,1.0,0.69,1.67,8.0,388250.0,"(1.25, 1.66)"
ZD,1.82,52.84,10.68,11.01,0.53,1.39,,3.5,5.3,-82.5,0.9,1.17,4.6,314240.0,"(6.67, 9.52)"
ZG,2.08,,24.56,,0.38,,,-2.2,-1.6,70.3,3.49,1.72,-5.2,680800.0,"(0.92, 2.87)"
ZI,3.8,136.43,18.55,5.03,0.54,0.16,,2.9,2.4,-54.1,1.5,,5.8,5100000.0,"(4.52, 2.62)"
ZION,1.0,5.18,4.56,,0.15,5.79,5.47,17.7,42.2,37.3,1.0,1.19,32.2,1630000.0,"(2.49, 2.25)"
ZLAB,2.91,,,,0.0,,,-38.0,-38.7,71.0,1.3,1.19,,719250.0,"(3.03, 4.03)"
ZM,1.68,,15.85,,0.0,,,1.7,1.6,-142.9,9.34,,2.4,3920000.0,"(5.51, 3.15)"
ZS,30.02,,55.35,,2.16,,,-62.9,-21.7,44.4,1.0,0.9,-24.1,2670000.0,"(7.82, 2.51)"
